"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Expert Info","Info"
"192","6.784216","192.168.1.151","35.170.229.85","TCP","66","52762","443","","52762  >  443 [ACK] Seq=1 Ack=564 Win=2039 Len=0 TSval=1225985020 TSecr=2319051801"
"193","6.784289","192.168.1.151","35.170.229.85","TLSv1.2","97","52762","443","","Encrypted Alert"
"194","6.784824","192.168.1.151","35.170.229.85","TCP","66","52762","443","Chat","52762  >  443 [FIN, ACK] Seq=32 Ack=564 Win=2048 Len=0 TSval=1225985020 TSecr=2319051801"
"195","6.786306","192.168.1.151","18.206.134.103","TCP","78","52807","443","Chat","52807  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1225985021 TSecr=0 SACK_PERM=1"
"196","6.837336","192.168.1.151","192.168.1.1","DNS","83","48770","53","","Standard query 0x3db2 A pollserver.lastpass.com"
"197","6.842429","35.170.229.85","192.168.1.151","TCP","54","443","52762","Warning","443  >  52762 [RST] Seq=564 Win=0 Len=0"
"198","6.843900","35.170.229.85","192.168.1.151","TCP","54","443","52762","Warning","443  >  52762 [RST] Seq=564 Win=0 Len=0"
"199","6.843902","18.206.134.103","192.168.1.151","TCP","74","443","52807","Chat","443  >  52807 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM=1 TSval=2319051898 TSecr=1225985021 WS=256"
"200","6.843967","192.168.1.151","18.206.134.103","TCP","66","52807","443","","52807  >  443 [ACK] Seq=1 Ack=1 Win=132480 Len=0 TSval=1225985078 TSecr=2319051898"
"201","6.844237","192.168.1.151","18.206.134.103","TLSv1.2","294","52807","443","","Client Hello"
"202","6.864636","192.168.1.1","192.168.1.151","DNS","174","53","48770","","Standard query response 0x3db2 A pollserver.lastpass.com CNAME lastpass.com.edgekey.net CNAME e10856.b.akamaiedge.net A 23.4.102.158"
"203","6.864876","192.168.1.151","23.4.102.158","TCP","78","52809","443","Chat","52809  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1225985098 TSecr=0 SACK_PERM=1"
"204","6.888071","23.4.102.158","192.168.1.151","TCP","74","443","52809","Chat","443  >  52809 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1452 SACK_PERM=1 TSval=276594859 TSecr=1225985098 WS=128"
"205","6.888133","192.168.1.151","23.4.102.158","TCP","66","52809","443","","52809  >  443 [ACK] Seq=1 Ack=1 Win=132480 Len=0 TSval=1225985121 TSecr=276594859"
"206","6.888291","192.168.1.151","23.4.102.158","TLSv1.3","685","52809","443","","Client Hello"
"207","6.896994","18.206.134.103","192.168.1.151","TLSv1.2","1506","443","52807","","Server Hello"
